ip,appears_as_source,appears_as_dest,total_events,total_attacks,unique_attack_families
89.186.73.156,True,True,606,0.0,1
54.192.37.39,True,True,605,0.0,1
151.101.21.127,True,True,602,0.0,1
74.119.118.100,True,True,602,0.0,1
8.43.72.32,True,True,591,0.0,1
172.217.12.170,True,True,583,0.0,1
172.217.11.38,True,True,581,0.0,1
85.114.159.93,True,True,577,0.0,1
169.45.253.37,True,True,575,0.0,1
63.251.240.12,True,True,574,0.0,1
108.59.6.118,True,True,573,0.0,1
172.217.11.1,True,True,572,0.0,1
172.217.12.202,True,True,568,0.0,1
172.217.10.234,True,True,561,0.0,1
151.101.0.207,True,True,557,0.0,1
23.4.59.27,True,True,552,0.0,1
74.119.118.66,True,True,551,0.0,1
104.97.139.37,True,True,549,0.0,1
104.97.117.153,True,True,548,0.0,1
192.83.254.182,True,True,544,0.0,1
62.4.0.28,True,True,539,0.0,1
172.217.12.129,True,True,538,0.0,1
212.95.74.42,True,True,535,0.0,1
144.217.148.73,False,True,535,0.0,1
198.8.70.212,True,True,535,0.0,1
23.208.79.206,True,True,534,0.0,1
172.217.5.228,True,True,534,0.0,1
172.217.3.106,True,True,533,0.0,1
208.81.233.32,True,True,533,0.0,1
138.108.6.20,True,True,532,0.0,1
172.217.6.196,True,True,532,0.0,1
198.51.152.184,True,True,531,0.0,1
97.64.84.112,True,True,530,0.0,1
178.172.160.4,True,True,529,0.0,1
216.58.219.230,True,True,528,0.0,1
74.117.199.102,True,True,527,0.0,1
158.255.65.22,True,True,522,0.0,1
172.217.6.225,True,True,520,0.0,1
200.147.68.17,True,True,514,0.0,1
172.217.6.198,True,True,509,0.0,1
54.192.37.234,True,True,508,0.0,1
104.97.73.166,True,True,508,0.0,1
216.58.219.195,True,True,506,0.0,1
144.76.152.132,True,True,506,0.0,1
172.217.11.10,True,True,503,0.0,1
23.194.141.58,True,True,503,0.0,1
144.217.164.10,False,True,501,0.0,1
172.217.10.10,True,True,501,0.0,1
192.229.173.173,True,True,500,0.0,1
23.194.141.198,True,True,499,0.0,1
207.210.46.249,False,True,499,0.0,1
72.21.206.141,True,True,496,0.0,1
54.183.241.190,True,True,493,0.0,1
198.51.152.183,True,True,493,0.0,1
23.4.43.27,True,True,491,0.0,1
107.178.255.114,True,True,491,0.0,1
192.243.250.58,True,True,489,0.0,1
208.84.244.40,True,True,487,0.0,1
54.192.37.69,True,True,486,0.0,1
93.184.215.245,True,True,486,0.0,1
104.20.15.243,True,True,482,0.0,1
64.147.131.160,True,True,482,0.0,1
192.243.232.36,True,True,482,0.0,1
162.208.20.184,True,True,481,0.0,1
54.192.37.254,True,True,479,0.0,1
192.82.242.23,True,True,477,0.0,1
151.101.20.249,True,True,475,0.0,1
104.97.73.5,True,True,474,0.0,1
172.217.7.4,True,True,472,0.0,1
8.43.72.112,True,True,470,0.0,1
185.167.164.37,True,True,469,0.0,1
72.21.81.48,True,True,467,0.0,1
151.101.21.108,True,True,465,0.0,1
172.217.9.234,True,True,463,0.0,1
104.19.194.102,True,True,462,0.0,1
172.217.10.65,True,True,461,0.0,1
172.217.10.42,True,True,461,0.0,1
23.15.4.24,True,True,461,0.0,1
199.244.48.55,True,True,460,0.0,1
198.8.70.211,True,True,460,0.0,1
52.94.232.33,True,True,460,0.0,1
199.244.48.50,True,True,459,0.0,1
172.217.12.200,True,True,458,0.0,1
172.217.7.132,True,True,457,0.0,1
216.58.219.227,True,True,457,0.0,1
195.234.240.81,True,True,457,0.0,1
23.194.180.128,True,True,457,0.0,1
172.217.7.1,True,True,456,0.0,1
172.217.12.164,True,True,453,0.0,1
54.209.123.201,True,True,453,0.0,1
93.184.216.16,True,True,452,0.0,1
172.217.12.168,True,True,451,0.0,1
207.200.74.133,True,True,451,0.0,1
169.45.108.44,True,True,451,0.0,1
192.0.76.3,True,True,450,0.0,1
192.243.250.36,True,True,450,0.0,1
198.72.112.8,True,True,448,0.0,1
169.46.44.40,True,True,448,0.0,1
94.31.29.64,True,True,447,0.0,1
198.232.125.123,True,True,446,0.0,1
199.38.164.55,True,True,445,0.0,1
198.51.152.179,True,True,445,0.0,1
69.166.1.10,True,True,444,0.0,1
172.217.7.164,True,True,443,0.0,1
198.51.152.178,True,True,443,0.0,1
199.59.148.12,True,True,442,0.0,1
80.247.66.26,True,True,442,0.0,1
23.195.94.165,True,True,441,0.0,1
172.217.12.196,True,True,436,0.0,1
146.148.13.21,True,True,435,0.0,1
172.217.10.74,True,True,431,0.0,1
69.28.157.213,True,True,430,0.0,1
117.53.117.16,True,True,430,0.0,1
104.88.55.49,True,True,429,0.0,1
172.217.11.4,True,True,428,0.0,1
117.27.230.186,True,True,428,0.0,1
151.101.2.49,True,True,428,0.0,1
52.84.145.201,True,True,427,0.0,1
172.217.9.232,True,True,425,0.0,1
54.239.17.113,True,True,423,0.0,1
158.69.125.231,False,True,422,0.0,1
208.185.50.80,True,True,421,0.0,1
156.154.202.36,True,True,420,0.0,1
151.101.208.249,True,True,419,0.0,1
151.101.66.2,True,True,419,0.0,1
17.253.14.253,False,True,419,0.0,1
204.15.8.12,True,True,419,0.0,1
23.194.111.147,True,True,418,0.0,1
129.128.12.20,False,True,418,0.0,1
185.54.150.20,True,True,417,0.0,1
199.38.164.54,True,True,417,0.0,1
99.224.25.39,False,True,416,0.0,1
72.247.69.199,True,True,416,0.0,1
54.71.197.51,True,True,415,0.0,1
172.217.10.228,True,True,415,0.0,1
185.167.164.39,True,True,413,0.0,1
206.75.89.101,False,True,413,0.0,1
172.217.6.234,True,True,412,0.0,1
74.119.118.72,True,True,412,0.0,1
31.13.71.2,True,True,412,0.0,1
65.55.44.109,True,True,411,0.0,1
151.101.209.127,True,True,411,0.0,1
208.185.50.90,True,True,410,0.0,1
199.59.150.44,True,True,408,0.0,1
211.233.74.23,True,True,407,0.0,1
151.101.45.127,False,True,404,0.0,1
139.61.74.125,True,True,403,0.0,1
220.181.7.190,True,True,401,0.0,1
172.217.12.138,True,True,399,0.0,1
108.161.188.138,True,True,397,0.0,1
52.38.5.243,True,True,396,0.0,1
117.27.230.185,True,True,393,0.0,1
157.240.18.15,True,True,392,0.0,1
172.217.9.228,True,True,392,0.0,1
157.240.2.20,True,True,389,0.0,1
104.19.196.102,True,True,389,0.0,1
138.108.50.100,True,True,388,0.0,1
195.142.107.70,True,True,387,0.0,1
34.210.245.93,True,True,385,0.0,1
104.97.133.94,True,True,385,0.0,1
172.217.11.8,True,True,383,0.0,1
172.217.3.104,True,True,383,0.0,1
151.101.130.2,True,True,382,0.0,1
103.27.148.71,True,True,382,0.0,1
216.58.219.234,True,True,381,0.0,1
23.37.43.27,True,True,381,0.0,1
172.217.10.33,True,True,380,0.0,1
195.154.148.3,True,True,380,0.0,1
184.29.128.170,True,True,379,0.0,1
172.217.10.4,True,True,379,0.0,1
172.217.11.36,True,True,378,0.0,1
104.88.42.42,True,True,378,0.0,1
96.16.193.174,True,True,377,0.0,1
104.193.83.57,True,True,377,0.0,1
72.21.91.113,True,True,376,0.0,1
117.27.232.35,True,True,375,0.0,1
206.108.0.132,False,True,374,0.0,1
157.240.18.5,True,True,374,0.0,1
72.21.91.66,True,True,374,0.0,1
8.43.72.22,True,True,373,0.0,1
173.241.254.212,True,True,373,0.0,1
87.250.250.119,True,True,371,0.0,1
23.111.9.32,True,True,371,0.0,1
23.208.217.175,True,True,371,0.0,1
213.180.193.119,True,True,366,0.0,1
130.211.5.178,True,True,366,0.0,1
119.205.194.14,True,True,362,0.0,1
23.5.251.27,True,True,361,0.0,1
199.187.193.130,True,True,360,0.0,1
8.43.72.72,True,True,360,0.0,1
173.239.42.214,True,True,359,0.0,1
192.95.27.155,False,True,359,0.0,1
149.174.66.131,True,True,357,0.0,1
104.19.195.102,True,True,356,0.0,1
159.203.8.72,False,True,356,0.0,1
206.212.251.19,True,True,356,0.0,1
158.85.42.53,True,True,356,0.0,1
23.203.96.167,True,True,356,0.0,1
216.58.217.164,True,True,356,0.0,1
104.97.91.19,True,True,355,0.0,1
23.203.87.43,True,True,355,0.0,1
172.217.10.100,True,True,354,0.0,1
23.111.11.211,True,True,354,0.0,1
62.4.0.29,True,True,354,0.0,1
172.217.8.4,True,True,354,0.0,1
23.208.218.66,True,True,353,0.0,1
69.147.82.60,True,True,352,0.0,1
52.11.164.190,True,True,352,0.0,1
23.208.101.109,True,True,352,0.0,1
162.247.242.20,True,True,352,0.0,1
112.121.107.6,False,True,351,0.0,1
52.6.89.8,True,True,351,0.0,1
104.20.16.243,True,True,350,0.0,1
151.101.46.2,True,True,350,0.0,1
72.21.81.200,True,True,349,0.0,1
172.217.6.202,True,True,349,0.0,1
52.84.86.104,True,True,349,0.0,1
157.240.2.7,True,True,348,0.0,1
8.43.72.42,True,True,348,0.0,1
209.48.71.112,True,True,347,0.0,1
5.196.119.249,True,True,347,0.0,1
195.142.105.15,True,True,347,0.0,1
192.229.163.97,True,True,346,0.0,1
81.26.166.11,True,True,345,0.0,1
172.217.7.196,True,True,345,0.0,1
34.224.179.209,True,True,344,0.0,1
94.31.29.55,True,True,344,0.0,1
23.194.141.47,True,True,343,0.0,1
209.48.71.242,True,True,343,0.0,1
172.217.7.6,True,True,342,0.0,1
8.27.240.125,True,True,342,0.0,1
64.12.245.38,True,True,341,0.0,1
99.192.248.32,True,True,341,0.0,1
172.217.7.10,True,True,341,0.0,1
172.217.10.36,True,True,340,0.0,1
107.154.79.224,True,True,339,0.0,1
38.71.5.33,True,True,338,0.0,1
23.194.141.104,True,True,338,0.0,1
151.101.0.68,True,True,337,0.0,1
172.217.6.232,True,True,337,0.0,1
72.247.71.166,True,True,336,0.0,1
206.108.0.133,False,True,336,0.0,1
54.192.37.221,True,True,335,0.0,1
113.29.190.10,True,True,334,0.0,1
63.251.248.136,True,True,334,0.0,1
72.21.92.229,True,True,332,0.0,1
204.154.110.79,True,True,332,0.0,1
23.210.202.27,True,True,331,0.0,1
172.217.12.136,True,True,330,0.0,1
23.194.140.15,True,True,329,0.0,1
172.217.6.228,True,True,327,0.0,1
172.217.10.106,True,True,327,0.0,1
172.217.10.8,True,True,326,0.0,1
69.4.95.11,True,True,325,0.0,1
74.119.118.86,True,True,325,0.0,1
27.0.237.143,True,True,324,0.0,1
204.11.109.67,True,True,324,0.0,1
204.2.197.201,True,True,324,0.0,1
52.3.3.97,True,True,324,0.0,1
184.31.6.135,True,True,324,0.0,1
23.194.109.177,True,True,324,0.0,1
148.251.76.202,True,True,323,0.0,1
162.247.242.18,True,True,322,0.0,1
94.31.29.250,True,True,321,0.0,1
192.82.243.71,True,True,321,0.0,1
205.234.175.175,True,True,321,0.0,1
104.97.135.177,True,True,320,0.0,1
204.2.197.211,True,True,319,0.0,1
144.217.240.204,False,True,318,0.0,1
112.121.107.5,False,True,317,0.0,1
23.92.189.243,True,True,317,0.0,1
172.217.11.33,True,True,317,0.0,1
74.119.118.84,True,True,317,0.0,1
199.182.221.110,False,True,316,0.0,1
23.65.11.27,True,True,316,0.0,1
38.65.9.35,True,True,315,0.0,1
66.228.59.187,False,True,314,0.0,1
5.196.119.250,True,True,313,0.0,1
74.119.118.78,True,True,313,0.0,1
52.84.143.13,True,True,313,0.0,1
74.119.118.71,True,True,312,0.0,1
38.69.238.8,True,True,312,0.0,1
184.30.4.121,True,True,311,0.0,1
206.108.0.131,False,True,311,0.0,1
209.197.3.19,True,True,310,0.0,1
172.217.10.138,True,True,308,0.0,1
172.217.10.232,True,True,308,0.0,1
13.107.21.200,True,True,308,0.0,1
192.33.31.162,True,True,306,0.0,1
172.217.11.42,True,True,306,0.0,1
104.19.192.102,True,True,305,0.0,1
104.20.115.18,True,True,304,0.0,1
23.210.202.42,True,True,304,0.0,1
172.217.5.227,True,True,304,0.0,1
216.58.219.225,True,True,304,0.0,1
74.125.29.108,True,True,304,0.0,1
162.247.242.19,True,True,303,0.0,1
23.194.140.172,True,True,303,0.0,1
184.29.129.62,True,True,302,0.0,1
204.154.111.108,True,True,302,0.0,1
198.255.77.58,True,True,300,0.0,1
104.88.12.52,True,True,299,0.0,1
216.58.219.228,True,True,299,0.0,1
104.97.122.33,True,True,298,0.0,1
192.35.249.120,True,True,298,0.0,1
50.18.50.60,True,True,298,0.0,1
91.207.59.161,True,True,297,0.0,1
152.163.13.4,True,True,297,0.0,1
23.111.9.30,True,True,296,0.0,1
173.241.254.199,True,True,296,0.0,1
162.248.16.50,True,True,296,0.0,1
169.60.66.35,True,True,296,0.0,1
104.79.143.90,True,True,295,0.0,1
172.217.10.68,True,True,293,0.0,1
184.73.199.125,True,True,291,0.0,1
178.154.131.216,True,True,291,0.0,1
184.84.243.218,True,True,291,0.0,1
72.5.205.22,True,True,291,0.0,1
151.101.128.166,True,True,290,0.0,1
52.84.145.148,True,True,290,0.0,1
205.185.208.27,True,True,289,0.0,1
23.15.4.19,True,True,288,0.0,1
8.18.45.80,True,True,288,0.0,1
199.167.65.22,True,True,287,0.0,1
52.86.204.9,True,True,287,0.0,1
91.236.51.44,True,True,286,0.0,1
172.217.7.195,True,True,286,0.0,1
198.252.206.25,True,True,286,0.0,1
74.125.29.156,True,True,284,0.0,1
198.54.12.127,True,True,284,0.0,1
172.217.1.174,True,True,283,0.0,1
172.217.10.72,True,True,283,0.0,1
50.97.40.233,True,True,282,0.0,1
174.35.73.94,True,True,282,0.0,1
216.58.219.193,True,True,282,0.0,1
203.154.100.144,True,True,282,0.0,1
31.13.69.193,True,True,281,0.0,1
185.54.150.115,True,True,281,0.0,1
80.82.201.85,True,True,281,0.0,1
192.229.173.67,True,True,280,0.0,1
72.30.202.150,True,True,279,0.0,1
54.219.154.103,True,True,279,0.0,1
46.105.203.17,True,True,279,0.0,1
209.48.71.168,True,True,278,0.0,1
195.93.42.12,True,True,278,0.0,1
54.192.36.242,True,True,278,0.0,1
104.20.114.18,True,True,277,0.0,1
172.217.10.97,True,True,276,0.0,1
38.69.238.16,True,True,276,0.0,1
38.72.130.133,True,True,276,0.0,1
23.194.181.179,True,True,276,0.0,1
151.101.209.108,True,True,276,0.0,1
198.54.12.145,True,True,276,0.0,1
178.172.160.16,True,True,276,0.0,1
198.232.124.194,True,True,273,0.0,1
199.187.193.140,True,True,272,0.0,1
52.33.75.90,True,True,272,0.0,1
204.11.109.65,True,True,271,0.0,1
104.31.91.87,True,True,271,0.0,1
69.169.85.7,True,True,271,0.0,1
54.192.38.6,True,True,271,0.0,1
63.251.252.12,True,True,269,0.0,1
23.36.34.56,True,True,268,0.0,1
172.82.206.1,True,True,268,0.0,1
23.49.139.27,True,True,267,0.0,1
151.101.22.49,True,True,267,0.0,1
74.125.29.154,True,True,267,0.0,1
172.217.6.200,True,True,267,0.0,1
172.217.3.36,True,True,266,0.0,1
52.33.61.7,True,True,266,0.0,1
213.13.146.142,True,True,266,0.0,1
184.84.243.199,True,True,266,0.0,1
69.169.86.39,True,True,265,0.0,1
129.146.12.96,True,True,265,0.0,1
198.100.147.178,False,True,264,0.0,1
54.208.26.241,True,True,263,0.0,1
113.52.156.18,True,True,263,0.0,1
151.101.64.166,True,True,263,0.0,1
141.170.25.54,True,True,262,0.0,1
208.81.1.244,False,True,262,0.0,1
61.251.98.135,True,True,262,0.0,1
54.236.211.8,True,True,262,0.0,1
80.82.201.80,True,True,262,0.0,1
198.50.139.209,False,True,261,0.0,1
104.97.87.215,True,True,260,0.0,1
54.192.37.124,True,True,260,0.0,1
38.72.130.155,True,True,260,0.0,1
151.101.129.34,True,True,260,0.0,1
54.175.83.148,True,True,260,0.0,1
192.229.163.25,True,True,259,0.0,1
50.31.164.173,True,True,259,0.0,1
54.192.37.14,True,True,259,0.0,1
199.16.156.11,True,True,259,0.0,1
50.31.164.175,True,True,259,0.0,1
160.17.6.1,True,True,258,0.0,1
62.161.94.220,True,True,258,0.0,1
87.250.251.119,True,True,257,0.0,1
195.248.250.150,False,True,257,0.0,1
95.213.11.181,True,True,257,0.0,1
172.217.7.163,True,True,257,0.0,1
151.101.65.34,True,True,257,0.0,1
54.192.37.22,True,True,256,0.0,1
35.164.147.83,True,True,256,0.0,1
31.13.80.52,True,True,256,0.0,1
192.82.243.118,True,True,255,0.0,1
108.61.73.244,False,True,255,0.0,1
178.172.160.17,True,True,255,0.0,1
192.35.249.127,True,True,254,0.0,1
23.194.140.38,True,True,254,0.0,1
198.54.12.96,True,True,254,0.0,1
93.158.134.119,True,True,253,0.0,1
52.24.31.137,True,True,253,0.0,1
74.125.29.155,True,True,253,0.0,1
74.125.29.109,True,True,252,0.0,1
200.42.136.212,True,True,252,0.0,1
151.101.208.175,True,True,251,0.0,1
172.217.8.3,True,True,251,0.0,1
199.16.156.75,True,True,251,0.0,1
184.86.217.145,True,True,251,0.0,1
174.35.73.138,True,True,250,0.0,1
104.19.193.102,True,True,250,0.0,1
